text,option_a,option_b,option_c,option_d,correct
"Тартиби татбиқи қонунгузории Ҷумҳурии Тоҷикистон дар бораи истеҳсолоти иҷроро кадом моддаи Қонуни Ҷумҳурии Тоҷикистон “Дар бораи истеҳсолоти иҷро” ба танзим медарорад ва аз чанд қисм он иборат аст?","Моддаи 17, аз 3 қисм","Моддаи 24, аз 5 қисм","Моддаи 3, аз 3 қисм","Моддаи 47, аз 4 қисм","A"
"Номгўйи ҳуҷҷатҳои иҷро чандтоянд ва онҳоро номбар кунед?","Варақаҳои иҷро, ки дар асоси санадҳои судӣ дода мешаванд, созишномаи ба тариқи нотариалӣ тасдиқшуда оид ба пардохти алимент, навиштаҷоти иҷроия, ки аз ҷониби нотариуси давлатӣ ва шахси мансабдори муассисаҳои консулии Ҷумҳурии Тоҷикистон барои иҷро дода шудааст, фармонҳои алоҳида, қароре, ки аз ҷониби мақомоти (шахсони мансабдори) ваколатдори баррасикунандаи парвандаҳо оид ба ҳуқуқвайронкунии маъмурӣ қабул нагардидааст, варақаи иҷро, ки суд дар асоси ҳалнома ва қарори суди ҳакамӣ дар ҳудуди Ҷумҳурии Тоҷикистон додааст, варақаи иҷро, ки суд дар асоси ҳалномаи суди давлати хориҷӣ ва суди ҳакамии хориҷӣ (арбитражҳо) додааст, қарори прокурор ҷиҳати бо тартиби маъмурӣ кўчонидани шаҳрвандоне, ки биноро худсарона ишғол кардаанд ё дар биноҳое истиқомат мекунанд, ки хавфи фурўравӣ надоранд, қарорҳои иҷрочии мақомоти иҷро оид ба ситонидани пардохти иҷро, қарорҳои мақомоти давлатӣ ва шахсони мансабдор дар ҳолатҳои бо қонунгузории Ҷумҳурии Тоҷикистон пешбинӣ шудааст, ба ҳисоб рафта, аз 10 адад иборатанд.","Варақаҳои иҷро, ки дар асоси санадҳои судӣ дода мешаванд, ҳалномаи суд, таъиноти суд, ҳукми суд, ҳалномаҳои арбитражҳо, ҳакамии хориҷӣ, қарори прокурор ҷиҳати бо тартиби маъмурӣ кўчонидани шаҳрвандоне, ки биноро худсарона ишғол кардаанд ё дар биноҳое истиқомат мекунанд, ки хавфи фурўравӣ надоранд, қарорҳои иҷрочии мақомоти иҷро оид ба ситонидани пардохти иҷро ва дигар санадҳои судӣ ҳуҷҷати иҷро буда, номгӯйи онҳо 8 ададро ташкил медиҳанд.","Номгўйи ҳуҷҷатҳои иҷро ин варақаҳои иҷро, ки дар асоси санадҳои судӣ дода мешаванд, созишномаи ба тариқи нотариалӣ тасдиқшуда оид ба пардохти алимент, фармони судӣ, қароре, ки аз ҷониби мақомоти (шахсони мансабдори) иҷроияи ҳокимияти давлатии шаҳру ноҳияҳои ҷумҳурӣ қабул гардидааст, варақаи иҷро, ки суд дар асоси шаҳодатнома ва қарори суди ҳакамӣ дар ҳудуди Ҷумҳурии Тоҷикистон додааст, варақаи иҷро, ки суд дар асоси ҳалномаи суди давлати хориҷӣ ва суди ҳакамии хориҷӣ (арбитражҳо) додааст, қарори суд ҷиҳати бо тартиби маъмурӣ кўчонидани шаҳрвандоне, ки биноро худсарона ишғол кардаанд ё дар биноҳое истиқомат мекунанд, ки хавфи фурўравӣ доранд, қарорҳои иҷрочии мақомоти иҷро оид ба ситонидани пардохти иҷро ба ҳисоб рафта, аз 8 адад иборатанд.","Номгўйи ҳуҷҷатҳои иҷро ин варақаҳои иҷро, ки дар асоси санадҳои судӣ дода мешаванд, созишномаи ба тариқи нотариалӣ тасдиқшуда оид ба пардохти алимент, навиштаҷоти иҷроия, ки аз ҷониби нотариуси давлатӣ ва шахси мансабдори муассисаҳои консулии Ҷумҳурии Тоҷикистон барои иҷро дода шудааст, фармони судӣ, қароре, ки аз ҷониби мақомоти (шахсони мансабдори) ваколатдори баррасикунандаи парвандаҳо оид ба ҳуқуқвайронкунии маъмурӣ қабул гардидааст, варақаи иҷро, ки суд дар асоси ҳалнома ва қарори суди ҳакамӣ дар ҳудуди Ҷумҳурии Тоҷикистон додааст, варақаи иҷро, ки суд дар асоси ҳалномаи суди давлати хориҷӣ ва суди ҳакамии хориҷӣ (арбитражҳо) додааст, қарори прокурор ҷиҳати бо тартиби маъмурӣ кўчонидани шаҳрвандоне, ки биноро худсарона ишғол кардаанд ё дар биноҳое истиқомат мекунанд, ки хавфи фурўравӣ доранд, қарорҳои иҷрочии мақомоти иҷро оид ба ситонидани пардохти иҷро, қарорҳои мақомоти давлатӣ ва шахсони мансабдор дар ҳолатҳои бо қонунгузории Ҷумҳурии Тоҷикистон пешбинӣ шудааст, ба ҳисоб рафта, аз 10 адад иборатанд.","Созишномаи ба тариқи нотариалӣ тасдиқшуда оид ба пардохти алимент, навиштаҷоти иҷроия, ки аз ҷониби нотариуси давлатӣ ва шахси мансабдори муассисаҳои консулии Ҷумҳурии Тоҷикистон барои иҷро дода шудааст, варақаҳои иҷро, ки дар асоси санадҳои судӣ дода мешаванд, фармони судӣ, варақаи иҷро, ки суд дар асоси ҳалнома ва қарори суди ҳакамӣ дар ҳудуди Ҷумҳурии Тоҷикистон додааст, варақаи иҷро, ки суд дар асоси ҳалномаи суди давлати хориҷӣ ва суди ҳакамии хориҷӣ (арбитражҳо) надодааст, қарорҳои иҷрочии мақомоти иҷро оид ба ситонидани пардохти иҷро, қарорҳои мақомоти давлатӣ ва шахсони мансабдор дар ҳолатҳои бо қонунгузории Ҷумҳурии Тоҷикистон пешбинӣ шудааст, ба ҳисоб рафта, аз 5 адад иборатанд.","D"
"Зери мафҳуми ҳуҷҷати иҷро чиро мефаҳмед?","Санадҳои судӣ, санадҳои мақомоти давлатӣ ва шахсони мансабдор мебошанд, ки барои аз ҷониби иҷрочии мақомоти иҷро оғоз намудани истеҳсолоти иҷро ва гузаронидани амалҳои иҷрои маҷбурӣ асос мегарданд.","Ҳуҷҷати иҷро ин санадҳои судӣ, санадҳои мақомоти ғайридавлатӣ ва шахсони мансабдор мебошанд, ки барои аз ҷониби иҷрочии мақомоти иҷро оғоз накардани истеҳсолоти иҷро ва гузаронидани амалҳои иҷрои маҷбурӣ асос мегарданд.","Ҳуҷҷати иҷро ин санадҳои судӣ, санадҳои мақомоти давлатӣ ва шахсони мансабдор мебошанд.","Ҳуҷҷати иҷро ин маҷмӯи амалҳои мурофиавӣ ва иҷроии иҷрочии мақомоти иҷро, ки барои таъмини иҷрои маҷбурии ҳуҷҷати иҷро равона гардидаанд; ","Ҳуҷҷати иҷро ин амалҳо оид ба гузаронидани чораҳои маҷбурии иҷро, ки барои таъмини иҷрои маҷбурии ҳуҷҷати иҷро равона гардидаанд;","A"
"Истеҳсолоти иҷро дар асоси кадом принсипҳо амалӣ карда мешавад?","Принсипҳои истеҳсолоти иҷро ин қонуният, эҳтиром ба ҳаёт, қадр, номус ва шаъну шарафи шаҳрванд, ассоснокӣ, таъмини волоият ва сари вақт гузаронидани амалҳои маҷбурӣ ва татбиқи чораҳои иҷрои онҳо, дахлнопазирии ҳадди ақали молу мулки барои зиндагии шаҳрванди қарздор ва аъзои оилаи ў зарур, мувофиқати ҳаҷми талабот ва чораҳои иҷрои маҷбурӣ, мустақилияти иҷрочии мақомоти иҷро мебошанд.","Принсипҳои истеҳсолоти иҷро ин қонуният, эҳтиром ба ҳаёт, қадр, номус ва шаъну шарафи шаҳрванд, таъмини шаффофият ва сари вақт гузаронидани амалҳои иҷро ва татбиқи чораҳои иҷрои маҷбурӣ, дахлнопазирии ҳадди ақали молу мулки барои зиндагии шаҳрванди қарздор ва аъзои оилаи ў зарур, мувофиқати ҳаҷми талаботи ситонанда ва чораҳои иҷрои маҷбурӣ, мустақилияти иҷрочии мақомоти иҷро мебошанд.","Истеҳсолоти иҷро дар асоси принсипҳои қонуният, эҳтиром ба ҳаёт, қадр, номус ва шаъну шарафи шаҳрванд, баррасии амалҳои иҷро ва чораҳои иҷрои маҷбурӣ, дахлпазирии ҳадди ақали молу мулки барои зиндагии шаҳрванди қарздор ва аъзои оилаи ў зарур, мувофиқати ҳаҷми талаботи ситонанда ва чораҳои иҷрои мајбурӣ, мустақилияти иҷрочии мақомоти иҷро амалӣ карда мешавад.","Қонуният, эҳтиром ба ҳаёт, қадр, номус ва шаъну шарафи шаҳрванд, дахлнопазирӣ, таъмини волоият ва сари вақт гузаронидани амалҳои иҷро ва татбиқи чораҳои иҷрои маҷбурӣ, дахлпазирии ҳадди ақали молу мулки барои зиндагии шаҳрванди қарздор ва аъзои оилаи ў зарур ва ғайраҳо принсипҳои истеҳсолоти иҷро ба ҳисоб мераванд.","Истеҳсолоти иҷро дар асоси принсипҳои қонуният, эҳтиром ба ҳаёт, қадр, номус ва шаъну шарафи шаҳрванд, инчунин мувофиқати ҳајми талаботи ситонанда ва чораҳои иҷрои мајбурӣ, мустақилияти иҷрочии мақомоти иҷро амалӣ карда мешавад.","A"
"Иштирокчиёни истеҳсолоти иҷро ҳуқуқи истифода аз хизмати тарҷумонро доранд?","Истеҳсолоти иҷро бо забони давлатӣ пеш бурда шуда, иштирокчиёни он ки забони корбарии иҷроро намедонанд, бо тартиби муқаррарнамудаи Қонуни Ҷумҳурии Тоҷикистон “Дар бораи истеҳсолоти иҷро” ҳуқуқи истифода аз хизмати тарҷумонро доранд.","Истеҳсолоти иҷро бо забонҳои тоҷикӣ ва русӣ пеш бурда шуда, иштирокчиёни он, ки забони корбарии иҷроро намедонанд, бо тартиби муқаррарнамудаи қонунгузорӣ ҳуқуқи истифода аз хизмати тарҷумонро надоранд.","Забони истеҳсолоти иҷро танҳо забони тоҷикӣ буда, бо тартиби муқаррарнамудаи Қонуни Ҷумҳурии Тоҷикистон “Дар бораи истеҳсолоти иҷро” ҳуқуқи истифода аз хизмати тарҷумон вуҷуд надорад.","Истеҳсолоти иҷро бо забони давлатӣ пеш бурда шуда, иштирокчиёни он, ки забони корбарии ијроро намедонанд, бо тартиби муқаррарнамудаи Қонуни Ҷумҳурии Тоҷикистон “Дар бораи истеҳсолоти иҷро” ҳуқуқи истифода аз хизмати тарҷумонро надоранд.","Коргузории истеҳсолоти иҷро бо забони давлатӣ пеш бурда шуда, иштирокчиёни он бо тартиби муқаррарнамудаи Қонуни Ҷумҳурии Тоҷикистон “Дар бораи истеҳсолоти иҷро” ҳуқуқи муколама бо тарҷумонро доранд.","A"
"Тартиби ташкил ва пешбурди махзани маълумоти иттилоотиро кадом мақомот муайян мекунад?","Тибқи талаботи моддаи 18 Қонуни Ҷумҳурии Тоҷикистон “Дар бораи истеҳсолоти иҷро” Хадамоти иҷрои назди Ҳукумати Ҷумҳурии Тоҷикистон ва Суди Олии Ҷумҳурии Тоҷикистон","Мутобиқи моддаи 48 Қонуни Ҷумҳурии Тоҷикистон “Дар бораи истеҳсолоти иҷро” хадамотҳои иҷро ва алоқаи назди Ҳукумати Ҷумҳурии Тоҷикистон","Тибқи талаботи моддаи 5 Қонуни Ҷумҳурии Тоҷикистон “Дар бораи истеҳсолоти иҷро” Дастгоҳи иҷроияи Президенти Ҷумҳурии Тоҷикистон","Тибқи талаботи моддаи 77 Қонуни Ҷумҳурии Тоҷикистон “Дар бораи истеҳсолоти ијро” Хадамоти иҷрои назди Ҳукумати Ҷумҳурии Тоҷикистон","Мутобиқи талаботи моддаи 8 Қонуни Ҷумҳурии Тоҷикистон “Дар бораи истеҳсолоти иҷро” Ҳукумати Ҷумҳурии Тоҷикистон","D"
"Кадом мақомот махзани маълумоти ягонаи иттилоотӣ ва бақайдгирии электронии истеҳсолоти иҷроро дар шакли электронӣ таъсис медиҳад ва пеш мебарад?","Тибқи талаботи қонунгузории Ҷумҳурии Тоҷикистон Агентии инноватсия ва технологияҳои рақамии назди Президенти Ҷумҳурии Тоҷикистон","Мутобиқи моддаи 8 Қонуни Ҷумҳурии Тоҷикистон “Дар бораи истеҳсолоти ијро” Хадамоти ијрои назди Ҳукумати Ҷумҳурии Тоҷикистон","Мутобиқи моддаи 13 Қонуни Ҷумҳурии Тоҷикистон “Дар бораи истеҳсолоти ијро” Хадамоти алоқаи назди Ҳукумати Ҷумҳурии Тоҷикистон","Тибқи талаботи моддаи 141 Қонуни Ҷумҳурии Тоҷикистон “Дар бораи истеҳсолоти ијро” Хадамоти ијрои назди Ҳукумати Ҷумҳурии Тоҷикистон","Мутобиқи талаботи моддаи 8 Қонуни Ҷумҳурии Тоҷикистон “Дар бораи истеҳсолоти ијро” Ҳукумати Ҷумҳурии Тоҷикистон","B"
"Мутобиқи талаботи моддаи 1 Қонуни Ҷумҳурии Тоҷикистон “Дар бораи истеҳсолоти ијро” нигоҳдоранда кист?","Шахсе, ки ба ў ијрочии мақомоти ијро молу мулки ба рўйхат гирифта ё ҳабсшударо барои нигоҳ доштан супоридааст ва барои истифода, исроф, бегона ё пинҳон намудани ин молу мулк масъулият надорад.","Нигоҳдоранда шаҳрвандест, ки ба ў дар асоси қарори суд молу мулки ба рўйхат гирифта ё ҳабсшуда барои нигоҳ доштан супорида шудааст ва бегона ё пинҳон намудани ин молу мулк масъулият дорад.","Нигоҳдоранда – корманди мақомоти ијро буда, ба ў ијрочии мақомоти ијро молу мулки ба рўйхат гирифта ё ҳабснашударо барои нигоҳ доштан супоридааст ва барои истифода, исроф, бегона ё пинҳон намудани ин молу мулк масъулият надорад.","Шахси воқеӣ ё ҳуқуқӣ, аз ҷумла шахси воқеӣ ё ҳуқуқии давлатҳои хориҷӣ, кредитори таъминшуда, ки ба фоида ё манфиати онҳо ҳујҷати ијро дода шудааст.","Шахсе, ки ба ў ијрочии мақомоти ијро молу мулки ба рўйхат гирифта ё ҳабсшударо барои нигоҳ доштан супоридааст ва барои истифода, исроф, бегона ё пинҳон намудани ин молу мулк масъулият дорад.","E"
"Тартиби ташкил ва пешбурди махзани маълумоти ягонаи иттилоотӣ ва бақайдгирии электронии истеҳсолоти иҷроро ифода намоед?","Мақомоти давлатӣ ва ғайридавлатӣ, мақомоти маҳаллии ҳокимияти давлатӣ, мақомоти худидоракунии ҷамоатҳо (аз ҷумла нотариусҳо, мақомоти қудратӣ, хадамоти шиносномавию бақайдгирӣ, мақомоти бақайдгирандаи молу мулки манқул ва ғайриманқул), бонкҳо, муассисаҳои таълимӣ, инчунин дигар шахсони ҳуқуқӣ, вобаста аз шакли моликияташон, уҳдадоранд бо дархости ијрочии мақомоти ијро маълумоти заруриро пешниҳод намоянд.","Нотариусҳо, мақомоти сабти асноди ҳолати шаҳрвандӣ, хадамоти шиносномавию бақайдгирӣ, бозрасии давлатии автомобилӣ, мақомоти бақайдгирандаи молу мулки манқул ва ғайриманқул, бонкҳо, ташкилотҳои байналмилаӣ ва байнидавлатӣ, инчунин дигар шахсони ҳуқуқӣ, новобаста аз шакли моликияташон, уҳдадоранд ба махзани маълумоти иттилоотӣ пайваст шаванд.","Мақомоти давлатӣ, мақомоти маҳаллии ҳокимияти давлатӣ, мақомоти худидоракунии шаҳрак ва деҳот (аз ҷумла нотариусҳо, мақомоти сабти асноди ҳолати шаҳрвандӣ, хадамоти шиносномавию бақайдгирӣ, бозрасии давлатии автомобилӣ, мақомоти бақайдгирандаи молу мулки манқул ва ғайриманқул), бонкҳо, инчунин дигар шахсони воқеӣ, вобаста аз шакли моликияташон, уҳдадоранд ба махзани маълумоти иттилоотӣ пайваст шуда, бо дархости ијрочии мақомоти ијро маълумоти заруриро пешниҳод намоянд.","Мақомоти давлатӣ, мақомоти маҳаллии ҳокимияти давлатӣ, мақомоти худидоракунии шаҳрак ва деҳот (аз ҷумла нотариусҳо, мақомоти сабти асноди ҳолати шаҳрвандӣ, хадамоти шиносномавию бақайдгирӣ, бозрасии давлатии автомобилӣ, мақомоти бақайдгирандаи молу мулки манқул ва ғайриманқул), бонкҳо, инчунин дигар шахсони ҳуқуқӣ, новобаста аз шакли моликияташон, уҳдадоранд ба махзани маълумоти иттилоотӣ пайваст шуда, бо дархости ијрочии мақомоти ијро маълумоти заруриро пешниҳод намоянд.","Вазорату идораҳои Ҷумҳурии Тоҷикисто, мақомоти маҳаллии ҳокимияти давлатӣ, нотариусҳо, мақомоти сабти асноди ҳолати шаҳрвандӣ, мақомоти бақайдгирандаи молу мулки манқул ва ғайриманқул, муассисаҳои соҳаҳои маорифу тандурустӣ, уҳдадоранд ба махзани маълумоти иттилоотӣ пайваст шуда, бо дархости ијрочии мақомоти ијро маълумоти заруриро пешниҳод намоянд.","D"
"Вазифаҳои истеҳсолоти иҷро аз чӣ иборат аст?","Истеҳсолоти ијро ин ијрои дуруст ва саривақтии маҷбурии санадҳои судӣ оид ба парвандаҳои гражданӣ (маданӣ) ва мусодираи молу мулк, инчунин дар ҳолатҳои муқаррарнамудаи Қонуни Ҷумҳурии Тоҷикистон “Дар бораи истеҳсолоти ијро” ијро накардани санадҳои мақомоти давлатӣ ва шахсони мансабдор мебошад.","Вазифаҳои истеҳсолоти ијро ин аз ијрои дуруст ва саривақтии маҷбурии санадҳои судӣ оид ба парвандаҳои гражданӣ (маданӣ), оилавӣ, маъмурӣ ва иқтисодӣ, ҳукм ва қарорҳои вобаста ба парвандаҳои ҷиноятӣ дар қисми даъвои гражданӣ (маданӣ), рӯёнидани маблағи ҷарима, ҷуброни зарар, ҷуброни зарари молу мулкӣ ва мусодираи молу мулк, инчунин дар ҳолатҳои муқаррарнамудаи Қонуни Ҷумҳурии Тоҷикистон “Дар бораи истеҳсолоти ијро” ијро намудани санадҳои мақомоти давлатӣ ва шахсони мансабдор иборат аст.","Вазифаҳои истеҳсолоти ијро ин аз ијрои дуруст ва саривақтии маҷбурии санадҳои мақомоти давлатӣ оид ба парвандаҳои ҳуқуқвайронкунии маъмурӣ, оилавӣ, маъмурӣ ва иқтисодӣ, ҳукм ва қарорҳои вобаста ба парвандаҳои ҷиноятӣ дар қисми даъвои гражданӣ (маданӣ), рӯёнидани маблағи ҷарима иборат аст.","Истеҳсолоти ијро ин ијрои дуруст ва саривақтии санадҳои судӣ оид ба парвандаҳои оилавӣ, ҳукм ва қарорҳои вобаста ба парвандаҳои ҷиноятӣ дар қисми даъвои гражданӣ (маданӣ), ҷуброни зарари молу мулкӣ ва мусодираи молу мулки ғайриманқул, инчунин дар ҳолатҳои муқаррарнамудаи Қонуни Ҷумҳурии Тоҷикистон “Дар бораи истеҳсолоти ијро” ијро намудани санадҳои мақомоти давлатӣ ва шахсони мансабдор мебошад.","Вазифаҳои истеҳсолоти ијро ин аз ијрои мајбурии санадҳои судӣ оид ба парвандаҳои гражданӣ (маданӣ), оилавӣ, маъмурӣ ва иқтисодӣ, ҳукм ва қарорҳои вобаста ба парвандаҳои ҷиноятӣ дар қисми даъвои гражданӣ (маданӣ), инчунин дар ҳолатҳои муқаррарнамудаи Кодекси ҳуқуқвайронкунии маъмурии Ҷумҳурии Тоҷикистон ијро намудани санадҳои мақомоти давлатӣ ва шахсони мансабдор иборат аст.","B"
"Қонуни амалкунандаи Ҷумҳурии Тоҷикистон “Дар бораи истеҳсолоти иҷро” кай қабул шудааст ва аз ҷанд бобу модда иборат аст?","Аз 20 марти соли 2008, №1156 қабул шуда, аз 15 боб ва 110 модда иборат мебошад.","Аз 8 июни соли 2022, №1873 қабул шуда, аз 20 боб ва 146 модда иборат мебошад.","Аз 1 январи соли 2017, №1912 қабул шуда, аз 10 боб ва 100 модда иборат мебошад.","Аз 8 июли соли 2022, №1874 қабул шуда, аз 20 боб ва 146 модда иборат мебошад.","Аз 10 феврали соли 2018, №1991 қабул шуда, аз 5 боб ва 45 модда иборат мебошад.","D"
